name,condition,trending_price_type,trending_price_amount,price,shipping_cost,items_left,watching
Professional Microphone USB Condenser Audio Sound Mic Stand Laptop PC Studio New,Brand New,,,$19.99,Free Shipping,,
"USB Streaming Podcast PC Microphone, SUDOTACK professional 96KHZ/24Bit Studio",Brand New,,,$60.50,Free Shipping,,
PROFESSIONAL Audio Condenser Microphone Kit Vocal Studio Recording Set Stand USB,Brand New,,,$30.99,Free Shipping,,
Blue Microphones Ball Dynamic USB Professional Microphone Snowball iCE - White,Pre-Owned,,,$20.00,,,
BLUE MICROPHONES - YETI - ULTIMATE USB MICROPHONE FOR PROFESSIONAL RECORDING,Open box,,,$80.00,,,
PROFESSIONAL Audio Condenser Microphone Kit Vocal Studio Recording Set Stand USB,Brand New,,,$30.49,Free Shipping,,7+ Watching
USB Microphone Thronmax Mdrill Dome Professional Usb Condenser Microphone ,Brand New,,,$45.00,Free Shipping,,
"USB Streaming Podcast PC Microphone, SUDOTACK professional 96KHZ/24Bit Studio",Brand New,,,$60.50,Free Shipping,,
"USB Streaming Podcast PC Microphone, SUDOTACK professional 96KHZ/24Bit Studio",Brand New,,,$54.95,,,
Rode Podcaster Dynamic Professional USB Microphone,Pre-Owned,,,$175.00,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Pre-Owned,,,$79.99,,,
Blue Microphones Spark SL Digital Professional Microphone,Open box,,,$75.00,,,
Groove Tubes GT55 Professional FET Condenser Microphone,Open box,,,$94.99,Free Shipping,,
New ListingNEW Samson Go Mic Condenser Wired - USB Professional Microphone ,Brand New,,,$44.99,Free Shipping,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Pre-Owned,,,$60.00,,,
Blue Microphones Yeti USB Wired Professional Condenser Mic -Silver-NEW SEALED! ,Brand New,,,$103.75,Free Shipping,Only 1 left!,2 Watching
Tonor Audio Professional Condenser Microphone USB Plug With Stand for Computer,Open box,,,$3.90,,,
Samson Go Mic Condenser Wired - USB Professional Microphone,Pre-Owned,,,$20.00,,,
Professional USB Condenser Microphone Audio Studio Sound Recording Mic w/ Stand,Brand New,Was,9.58,$6.99,,,8 Watching
"USB Podcast Condenser Microphone 192kHZ/24bit, UHURU Professional PC Streaming",Brand New,,,$71.99,Free Shipping,,
Blue Yeti Blackout Ultimate Professional USB Microphone C2,Open box,,,$76.50,,,
Blue Yeti Blackout Ultimate USB Microphone For Professional Recording Ships Free,Brand New,,,$90.00,,,
APOGEE MIC 96K - USB MICROPHONE for MAC PORTABLE-PROFESSIONAL,Pre-Owned,,,$110.00,,,
M-Audio Duo Professional USB Mic Preamps Wtih AC Adapter Tested Working ,Pre-Owned,,,$54.99,Free Shipping,,
New ListingProfessional Broadcast Bundle Yeti USB Microphone - Radius III - Compass,Brand New,,,$199.99,Free Shipping,,
Professional Wireless Speaker Karaoke Handheld Microphone Mic Music Player KTV,Brand New,,,$8.79,Free Shipping,,5+ Watching
Senal UB-440 Professional USB Microphone,Brand New,,,$99.99,Free Shipping,,
Neewer NW-7000 USB Professional Studio Condenser Microphone Kit,Brand New,,,$39.99,Free Shipping,,
"USB Streaming Podcast PC Microphone, SUDOTACK professional 96KHZ/24Bit Studio",Brand New,,,$61.99,Free Shipping,,2 Watching
Senal UB-440 Professional USB Microphone,Brand New,,,$99.99,Free Shipping,,
"USED, BLUE MICROPHONE PROFESSIONAL USB CONDENSER MICROPHONE, BLACK-",Pre-Owned,,,$80.00,Free Shipping,,
Marantz MPM2000U Professional USB Condenser Microphone Live Recording Case :103,Brand New,,,$55.00,,,
"Blue YETI Professional Wired USB Microphone, Multiple Pattern Selection - Silver",Brand New,,,$109.99,Free Shipping,,
Professional USB Condenser Microphone Studio Sound Recording+ Shock Mount TH1371,Brand New,,,$42.96,Free Shipping,,
Professional USB Condenser Microphone Studio Sound Recording Mic W Stand tripod,Brand New,List price,24.95,$14.97,Free Shipping,,
Beyerdynamic FOX Professional USB Microphone,Brand New,,,$179.99,Free Shipping,,
Blue Yeti Blackout Ultimate Professional USB Microphone,Brand New,,,$119.99,Free Shipping,Only 1 left!,
Marantz Professional Pod Pack 1 USB Microphone w Broadcast Stand & Headphone,Brand New,List price,124.97,$68.40,,,
Blue Microphones Yeti Professional Multi-Pattern USB Microphone (Teal),Brand New,List price,129.99,$119.99,Free Shipping,,
"Professional Audio Recording Studio Mixer 12Ch w Speakers, USB Digital Interface",Brand New,,,$699.95,Free Shipping,,4 Watching
Beyerdynamic FOX Professional USB Microphone,Brand New,,,$179.99,Free Shipping,,
Professional USB Microphone Studio Condenser Mic Recording for Skype Recording,Brand New,,,$25.99,Free Shipping,,
Professional Microphone USB Condenser Sound Podcast Studio PC Mac Laptop Kit Mic,Brand New,,,$15.75,Free Shipping,,
Professional USB Condenser Mic Microphone Game Chat Studio Recording Computer PC,Brand New,,,$15.98,Free Shipping,,
Samson Go Mic Mobile Professional Lavalier Mic Wireless System For Mobile Video,Refurbished,,,$179.00,Free Shipping,,
"Blue Yeti Professional USB Microphone - Space Grey, Very Good Condition!",Pre-Owned,,,$59.99,,,
Professional USB Condenser Microphone Studio Sound Recording Mic W Stand tripod,Brand New,,,$7.99,Free Shipping,,
Samson Go Mic Mobile Professional Lavalier Mic Wireless System For Mobile Video,Brand New,,,$199.99,Free Shipping,,
Senal UB-440 Professional USB Microphone        Free Shipping!,Pre-Owned,,,$84.95,Free Shipping,,
"Blue Microphones Snowball, Professional USB Condenser Microphone, Gloss Black",Brand New,,,$69.99,Free Shipping,,
Audio-Technica AT2020 Cardioid Condenser Microphone Professional,Brand New,,,$99.00,,,
Beyerdynamic FOX Professional USB Microphone,Brand New,,,$179.99,Free Shipping,,
"Blue Mic Yeti Blackout Professional Omnidirectional USB Microphone, Black",Brand New,,,$129.99,Free Shipping,Only 1 left!,6 Watching
Audio Tech AT2020 Condenser Wired Professional Microphone,Brand New,,,$99.00,,,
Blue Snowball Professional USB Brushed Aluminum Condenser Microphone,Brand New,List price,89.00,$69.99,Free Shipping,,
Blue Microphones Yeti USB Professional Microphone Steel Red (SHIPS SAME DAY),Brand New,,,$89.99,,,
BLUE YETI BLACK PROFESSIONAL OMNIDIRECTIONAL USB MICROPHONE,Pre-Owned,,,$80.00,Free Shipping,,
Shure PG42USB PG42 USB Condenser Wired Professional Microphone,Pre-Owned,,,$160.00,,,
Marantz Professional MPM-2000U | Studio Condenser USB Microphone-Shock Mt. -NEW!,Brand New,,,$84.50,,,
Blue Microphones Yeti Professional USB Condenser Microphone With Headphone Port,Pre-Owned,,,$89.99,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Sliver™,Refurbished,,,$79.95,Free Shipping,,
Yeti Professional USB Microphone,Open box,,,$110.00,,,
"New Vokal Professional VLR-502 Wireless Microphones System - 2 Mics, USB Charger",Brand New,,,$189.99,Free Shipping,,
Blue Microphones Yeti Professional Multi-Pattern USB Microphone (Satin Red),Brand New,List price,129.99,$119.99,Free Shipping,,
Blue Microphones Yeti Blackout Edition USB Condenser Professional Microphone,Brand New,,,$115.00,,,
Professional Condenser USB Microphone BM900 for computer BM-900 Upgraded Audio,Brand New,,,$90.00,,,
Nady USB-1C Condenser Cable Professional Microphone,Pre-Owned,,,$54.00,Free Shipping,,
PROFESSIONAL Audio Condenser Microphone Kit Vocal Studio Recording Set Stand USB,Brand New,,,$26.59,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Open box,,,$119.99,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone With Headphone Port,Pre-Owned,,,$89.99,Free Shipping,,
BLUE YETI BLACK PROFESSIONAL OMNIDIRECTIONAL USB MICROPHONE,Pre-Owned,,,$80.00,Free Shipping,,
Yeti Professional USB Microphone,Open box,,,$110.00,,,
Audio Tech AT2020 Condenser Wired Professional Microphone,Brand New,,,$90.00,,,
Blue Microphones Yeti Pro Professional USB Microphone **BRAND NEW** YETI PRO,Brand New,,,$249.00,,,
Shure PG42USB PG42 USB Condenser Wired Professional Microphone,Pre-Owned,,,$160.00,,,
Beyerdynamic - Fox - Professional USB Studio Microphone,Brand New,,,$149.95,Free Shipping,,
Samson Go Mic Condenser Wired - USB Professional Microphone,Pre-Owned,,,$28.99,,,
YaeCCC Professional USB Microphone Studio Condenser Recording for Skype Speech,Brand New,,,$25.99,Free Shipping,,
Professional USB Condenser Microphone Mic Studio Sound Recording + Shock Mount,Brand New,List price,29.37,$14.97,Free Shipping,,
"Professional Sound USB Recording Kit, Software, Mixer Amplifier, Audio Speakers",Brand New,,,$399.77,Free Shipping,,
"Blue YETI Professional Wired USB Microphone, - Silver",Brand New,,,$115.00,,,
Blue Microphones - Blue Yeti X Professional Condenser USB Microphone,Brand New,,,$169.99,Free Shipping,,
USB Professional Condenser Microphone for Game Chat Studio Recording Computer,Brand New,,,$16.99,Free Shipping,,
Senal UB-440 Professional USB Microphone Includes Stand Mount & USB Cable,Brand New,,,$129.99,Free Shipping,,
Blue Yeti Ultimate Professional Recording USB Microphone - Silver- in box,Open box,,,$149.00,,,
"Blue Yeti USB Microphone - Silver, Streaming, Recording, Professional, New",Brand New,,,$123.76,Free Shipping,,
BLUE MICROPHONES Yeti Professional USB Desk Microphone,Open box,,,$99.99,,,
Professional USB 2.0 Stereo Condenser Recording Mic for Live Broadcast - Black,Brand New,,,$14.55,Free Shipping,,
USB Plug & Play Professional Home Studio Condenser Microphone ,Open box,Was,26.00,$23.40,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Pre-Owned,,,$79.99,,,
